grade,subject,lo_code,lo_description,pct_correct
Grade 8,SST,SST 722,Discuss the significance of equality in a democracy.,69.3
Grade 8,SST,SST 802,"Explain about the main crops, different types of farming, and va...",58.5
Grade 8,SST,SST 810,Show how the Modern age is different from the Middle ages and An...,61.9
Grade 8,SST,SST 816,"Analyze the reasons for the decline of existing city centres, ha...",46.2
Grade 8,SST,SST 825,Explain the election process of the Lok Sabha.,69.2
Grade 8,SST,SST 829,Analyze the causes and consequences of specific group formation ...,59.6
Grade 8,SST,SST 832,Explain the working of the Indian judicial system by giving exam...,42.7
Grade 8,SST,SST 833,Explain the role of government in regulating economic activities.,57.0
Grade 8,Science,SCI 703,"This section involves the classification of materials and organisms based on their qualities. For example, it includes animal and plant tissues, physical and chemical changes.",51.6
Grade 8,Science,SCI 705,"This involves relating processes and events to their causes. Examples include the relationship between wind speed and air pressure, various soil types and crop production, and the impact of groundwater depletion on human activities.",53.4
Grade 8,Science,SCI 707,"This section deals with the application of chemical reactions. Examples include acid-base reactions, rusting, and identification methods.",65.8
Grade 8,Science,SCI 709,"This involves creating and interpreting diagrams, such as anatomical diagrams of humans and plants, as well as preparation for experiments.",45.3
Grade 8,Science,SCI 712,Discussing the story of scientific discoveries and selecting important ones.,55.1
Grade 8,Science,SCI 713,"Understanding concepts related to environmental science, such as countering acidity in soil, conducting soil tests, and finding ways to prevent soil erosion.",74.2
Grade 8,Science,SCI 714,"Efforts will be made towards environmental protection, such as maintaining cleanliness in general places, reducing pollution-causing substances, and tree plantation to prevent soil erosion.",73.3
Grade 8,Science,SCI 716,"Discussions will cover sustainability, resource conservation, cooperation, and overcoming fear and superstition.",47.1
Grade 8,Science,SCI 801,"Show the difference between material and living things (such as natural and man-made fibres, contact and non-contact forces, liquids as poor and good conductors of electricity, animal cells and plant cells, animal and non-edd producing organisms), etc, based on their properties, structure characteristics and functionality.",63.0
Grade 8,Science,SCI 802,"Materials and living things will be classified based on their properties, for example - metals and non-metals, kharif and rabi crops, beneficial and harmful microorganisms, sexual and asexual reproduction, cosmic objects and non-renewable natural resources.",69.3
Grade 8,Science,SCI 805,"Explain processes and phenomena - reproduction of humans and animals, creation and transmission of sound, chemical effects of electric current, formation of multiple images, formation of flames, etc.",61.8
Grade 8,Science,SCI 807,Measure the angle of incidence and angle of reflection,50.8
Grade 8,Science,SCI 811,"Apply the learning of scientific concepts to daily life, eg., - purifying water, separating biodegradable and non-biodegradable materials, increasing crop productivity, using appropriate metals and alloys for different purposes, increasing/ decreasing friction, and overcoming misconceptions and misconceptions related to puberty.",66.7
