udise,school_name,block,cluster,grade,student_pseudo_id,subject,pct_correct
21150209501,GOPINATHAPUR UPS,Athamalik,MAIMURA PS,Grade 8,10,Odia,85.0
21150620102,Govt UPS Oskapali,Kishore Nagar,Govt UPS Jairat,Grade 8,19,Odia,50.0
21150108801,"GOVT UGHS, GADATARAS",Anugola,GADATARAS,Grade 8,1,Maths,30.0
21150811002,KALAMACHHUIN PURUNASAHI PS,Talachera,Kalamachhuin UPS,Grade 5,2,English,93.3
21150230501,"RADHAKRISHNA HS,TAPADHOL",Athamalik,TAPADHOL,Grade 8,41,English,85.0
21150225203,GOVT.UPS PEDIPATHAR,Athamalik,PEDI PATHAR,Grade 8,17,Maths,80.0
21150800252,BHARATPUR HS,Talachera,BADAJORADA NUPS,Grade 8,10,Odia,45.0
21150610501,GOVT.P.S. SRIBANTAMUNDA,Kishore Nagar,Kadalimunda ups,Grade 5,4,EVS,66.7
21151102101,BAGHUABOL NODAL UPS,Talachera,Baghuabol Nups,Grade 8,19,SST,70.0
21150415301,"Govt. Upper Primary School, Ramadiha",Chhendipada,Govt UPS PARANGA,Grade 8,14,English,50.0
21150601901,"Govt. Primary School, Jiantanali",Kishore Nagar,Govt ups Angapada Turuda,Grade 5,3,EVS,80.0
21150303901,GOVT UPS PANDARBHARANIA,Banarpal,GOTAMARA,Grade 8,13,SST,10.0
21150111501,KHALARI HS,Anugola,KHAMAR PS CLUSTER,Grade 8,17,Odia,75.0
21150224601,GOVT.PS BADADADAR,Athamalik,PEDI PATHAR,Grade 5,5,Maths,46.7
21150312401,"GOVT.UPS,SANKERJANG",Banarpal,GOVT UPS GANDIBEDHA,Grade 5,6,EVS,53.3
21150709602,GOVT UPS JHARBEDA,Palalahada,GOVT UPS JHARBEDA,Grade 5,16,Maths,66.7
21150416101,"Govt. Primary School, Bhalukhaidhipa",Chhendipada,Patakumunda NHS,Grade 5,3,Maths,46.7
21150806701,Gobara NHS,Talachera,Gobara NHS,Grade 8,16,Odia,50.0
21151101303,Jubaraj HS,Talachera,DEULABEDA COLLIERY MODEL NODAL HIGH SCHOOL,Grade 8,32,Science,45.0
21150113901,PNHS KUMURISINGHA,Anugola,PNHS Kumurisingha,Grade 8,101,SST,40.0
21150316201,"PANCHAYAT HS, TULASIPAL",Banarpal,TULASIPAL CLUSTER,Grade 8,7,Maths,65.0
21150606851,"Govt. Upper Primary School, Badahula",Kishore Nagar,KISHOREGANJ,Grade 5,7,EVS,33.3
21150610101,GOVT UPS DOHOLI,Kishore Nagar,GOVT UPS RANIAKATA,Grade 5,13,English,26.7
21150618551,"Maa Hingulai High School,Luhamunda",Kishore Nagar,KISHOREGANJ,Grade 8,32,Odia,75.0
21150200102,GOVT.NUPS AIDA,Athamalik,KUTESWAR UPS,Grade 5,14,English,80.0
21150705302,GOVT UPS CHASAGURUJANG,Palalahada,CHASAGURUJANG UPS,Grade 8,33,English,80.0
21150602403,YUVAJYOTI HS,Kishore Nagar,YJHS BAMUR,Grade 8,26,Maths,80.0
21151100901,Patrasahi PS,Talachera,DEULABEDA COLLIERY MODEL NODAL HIGH SCHOOL,Grade 5,6,EVS,6.7
21150610701,"Govt. Upper Primary School, Ashrubahal",Kishore Nagar,Khandabar PS,Grade 8,3,Odia,75.0
21150508401,GOVT PS BURUKUNA,Kaniha,Saradhapur,Grade 5,4,Odia,100.0
21150516502,"PM SHRI PABITRA MOHAN GOVT. HIGHER SECONDARY SCHOOL, KANIHA",Kaniha,Govt PS kaniha,Grade 8,49,Maths,50.0
21150408403,"Govt. Upper Primary School, Kankarai",Chhendipada,Kankarei UPS,Grade 8,31,Odia,75.0
21150711402,Govt ups Sahargurujanga,Palalahada,Sahargurujanga,Grade 5,8,Odia,53.3
21150719501,PHS SIARIMALIA,Palalahada,CHASAGURUJANG UPS,Grade 8,2,Maths,75.0
21150714001,GOVT UPS RENGALMUNDA,Palalahada,Barkotia ups,Grade 8,6,Maths,80.0
21150702401,"GOVT UPS HATIGHINCHA, BALIPASI",Palalahada,GOVT.UGHS SEEGARH,Grade 5,7,Odia,73.3
21150408002,"Govt. Upper Primary School, Kanaloi",Chhendipada,Kanaloi ups,Grade 8,8,SST,85.0
21150105301,Govt.primary school Sabalabhanga,Anugola,PNHS Kumurisingha,Grade 5,33,Maths,93.3
21150806406,Ghantapada NHS,Talachera,Ghantapada NHS,Grade 8,43,Maths,25.0
21150100152,"Panchayat High School, Angarbandha",Anugola,Jhatakipasi,Grade 8,5,SST,25.0
21150801201,BALHAR PS,Talachera,Sri Jagannath NHS,Grade 5,8,Maths,86.7
21150701801,KURUMULA SS,Palalahada,Bahadapasi,Grade 5,9,Maths,86.7
21150805301,Biharipur PUPS,Talachera,Biharipur PUPS,Grade 8,14,English,15.0
21150313901,"PM SHRI TALMUL HIGH SCHOOL , TALMUL",Banarpal,MAHIDHARPUR HS,Grade 8,16,Maths,25.0
21150518201,GOVT PS DANGARABEDA,Kaniha,GOVT PS SAMAL,Grade 5,2,English,73.3
21150308303,KULAD UPS,Banarpal,KANDASAR,Grade 8,8,Science,70.0
21150602403,YUVAJYOTI HS,Kishore Nagar,YJHS BAMUR,Grade 8,18,Maths,85.0
21150407601,"Govt. Upper Primary School, Mandua",Chhendipada,Govt UGHS Bahalasahi,Grade 5,4,Maths,60.0
21150405101,"Block Colony Govt. Upper Primary School, Chhendipada",Chhendipada,Chhendipada HS,Grade 8,28,Maths,50.0
21150100201,Khandahata primary school,Anugola,Jhatakipasi,Grade 5,11,English,93.3
21150416903,"Govt. Primary School, Tebudu Jungle",Chhendipada,Patakumunda NHS,Grade 5,3,English,46.7
21150417405,"Govt. High School, Sapoinali",Chhendipada,Basantapur NUPS,Grade 8,33,English,80.0
21150218502,Govt. PS Gadadharpur,Athamalik,GOVT. NUPS MADHAPUR,Grade 5,6,Maths,73.3
21150725201,Govt PS Khandabeda,Palalahada,"LNGHS, Sankhamur",Grade 5,2,Odia,93.3
21150217202,Govt.U PS Lunahandi,Athamalik,GOVT. NUPS MADHAPUR,Grade 5,13,Odia,73.3
21150418071,BARALA BALUNKESWAR HS,Chhendipada,Patakumunda NHS,Grade 8,7,Odia,55.0
21150710301,GOVT UPS BANKHOL,Palalahada,Barkotia ups,Grade 5,1,Odia,93.3
21150502201,GOVT UPS BAJRAKOTE,Kaniha,Bajrakote Nodal UPS,Grade 5,33,English,80.0
21150405703,"Govt. Primary School, Banadurgapada",Chhendipada,DURGAPUR NUPS,Grade 5,3,EVS,86.7
21150116101,M.M PATNA PUPS,Anugola,Purunagarh,Grade 8,22,Science,35.0
21150211003,Govt. UPS Kiakata,Athamalik,Kiakata PS,Grade 8,37,Odia,60.0
21150614702,"GOVT UPS, ICHHAPUR",Kishore Nagar,"Govt PS, Kanteikulia",Grade 5,2,English,73.3
21150304101,Fulapada ps,Banarpal,Fulapada ups,Grade 5,6,English,20.0
21150306601,Badahinsar PUPS,Banarpal,Fakir Charan UP School Tubey Cluster,Grade 8,17,Science,35.0
21150231501,GOVT PS CHERKHANDI,Athamalik,THAKURGARH PS,Grade 5,6,English,80.0
21150606501,GOVT HS KISHORE NAGAR,Kishore Nagar,GOVT UPS DHAURAPALI,Grade 8,27,Science,55.0
21150303103,PBK HS,Banarpal,NUAHATA CLUSTER,Grade 8,11,SST,15.0
21150719501,PHS SIARIMALIA,Palalahada,CHASAGURUJANG UPS,Grade 8,27,Maths,75.0
21150410303,"Govt. High School, Kosala",Chhendipada,KOSALA PS,Grade 8,98,Maths,70.0
21150415201,"Govt. Upper Primary School, Paranga",Chhendipada,Govt UPS PARANGA,Grade 5,16,EVS,80.0
21150418502,Tentuloi Kodasahi GP HS,Chhendipada,Kukurpeta,Grade 8,14,SST,85.0
21150305803,GOVT NHS GOTAMARA,Banarpal,GOTAMARA,Grade 8,23,SST,25.0
21150523302,"Govt.UPS, Podagarh",Kaniha,SUSUBA,Grade 5,13,English,80.0
21150308302,KHAMBESWARI PS,Banarpal,KANDASAR,Grade 5,4,EVS,40.0
21150307602,GOVT PS KUKUDANG,Banarpal,HARIHAR GOVT. HS KUKUDANG,Grade 5,8,English,93.3
21150400101,"Govt. High School, Bagdia",Chhendipada,MACHHAKUTA UPS,Grade 8,61,English,70.0
21150112402,Baghamunda Ashram School,Anugola,Tainsi Cluster,Grade 8,10,SST,10.0
21150400701,"Govt. Primary School, Gohirapasi",Chhendipada,Govt UGHS Bahalasahi,Grade 5,2,Maths,53.3
21150717401,NAMAGAON SEVASHRAMA,Palalahada,KANTALA,Grade 5,15,EVS,86.7
21150108801,"GOVT UGHS, GADATARAS",Anugola,GADATARAS,Grade 5,24,English,100.0
21150417302,"Govt. Primary School, Raijharan",Chhendipada,Kankarei UPS,Grade 5,16,English,53.3
21150316201,"PANCHAYAT HS, TULASIPAL",Banarpal,TULASIPAL CLUSTER,Grade 8,28,English,95.0
21150401203,"Govt. High School, Balipata",Chhendipada,Balipatta,Grade 5,22,EVS,40.0
21150406801,"Govt. Upper Primary School, Laxmidharpur",Chhendipada,Jereng Dehuri Sahi UGHS,Grade 5,16,English,53.3
21150111207,Nuasahi UP school,Anugola,Jhatakipasi,Grade 8,18,Odia,75.0
21150400103,"Govt. Primary School, Bagdia",Chhendipada,MACHHAKUTA UPS,Grade 5,3,English,93.3
21150304102,Fulapada ups,Banarpal,Fulapada ups,Grade 8,38,English,90.0
21150313901,"PM SHRI TALMUL HIGH SCHOOL , TALMUL",Banarpal,MAHIDHARPUR HS,Grade 8,27,Odia,20.0
21150800101,BADAJORADA NUPS,Talachera,BADAJORADA NUPS,Grade 8,15,Maths,85.0
21150205351,Jamudoli GPHS,Athamalik,"BINIKEYEE NHS,LUHASINGA",Grade 8,28,Science,90.0
21150514501,GOVT HS KAKUDIA,Kaniha,DERANG,Grade 8,29,Maths,80.0
21150512501,"GOVT UP SCHOOL, DUMUDUMA",Kaniha,DUMUDUMA,Grade 8,4,SST,45.0
21150216003,Govt PS Kusumkuhuri,Athamalik,"BINIKEYEE NHS,LUHASINGA",Grade 5,3,Maths,86.7
21150505002,GOVT SS PALASABAHALI,Kaniha,GOVT UPS BALIPASI,Grade 5,8,English,66.7
21150716701,GOVT PS BADIAHAL,Palalahada,KANTALA,Grade 5,2,English,73.3
21150703701,"BANDHABHUIN GOVT GIRLS HIGH SCHOOL,JAMARDIHA",Palalahada,Jagannath Govt HS Itee,Grade 5,12,EVS,66.7
21150719201,GOVT PS PARAMUNDA,Palalahada,CHASAGURUJANG UPS,Grade 5,4,English,86.7
21150312601,Amantapur UPS,Banarpal,Brajamohan nups,Grade 5,2,Maths,80.0
21150703602,"JAGANNATH GOVT. HIGH SCHOOL ,ITEE",Palalahada,Jagannath Govt HS Itee,Grade 8,3,Odia,75.0
21150801702,KUKUDULA UPS,Talachera,Sri Jagannath NHS,Grade 5,18,EVS,66.7
21150801702,KUKUDULA UPS,Talachera,Sri Jagannath NHS,Grade 5,14,EVS,86.7
21150300907,AMANTAPUR P UPS,Banarpal,BALARAMPMRASAD HS,Grade 8,13,Odia,60.0
21150102403,"PM SHRI SHREE JAGANNATH GOVT. HIGH SCHOOL,BADAKERA",Anugola,BADAKERA UPS,Grade 8,24,English,35.0
21150523101,"Govt.UPS,Gengutia",Kaniha,SUSUBA,Grade 8,9,Science,65.0
21150403803,"Govt. Upper Primary School, Jambusahi",Chhendipada,GOVT UPS BRAHMANBIL,Grade 8,9,Maths,55.0
21150415201,"Govt. Upper Primary School, Paranga",Chhendipada,Govt UPS PARANGA,Grade 5,10,Maths,73.3
21151000501,GOVT UPS BARGAON,Athamalik,MAHENDRA HIGH SCHOOL ATHAMALLIK,Grade 8,29,Maths,35.0
21150520202,"Govt.UPS,Rengali",Kaniha,HATIADANDA,Grade 5,23,Odia,93.3
21150504801,GOVT PS NAKITIDEUL,Kaniha,GOVT UPS BALIPASI,Grade 5,9,English,93.3
21150227201,GOVT.UPS GHODABANDHUNI,Athamalik,GHODABANDHUNI UPS,Grade 5,1,Odia,80.0
21150231001,GOVT UPS GUNDURI,Athamalik,THAKURGARH PS,Grade 8,13,SST,60.0
21150415602,"Govt. High School, Gadamandal",Chhendipada,KHAMAR NUPS,Grade 8,32,Odia,60.0
21150410305,Govt. Primary School Kumbharsahi Kosala,Chhendipada,KOSALA PS,Grade 5,13,Odia,46.7
21150610401,Govt UPS Karamalkata,Kishore Nagar,Govt UPS Jairat,Grade 5,1,EVS,60.0
21150400101,"Govt. High School, Bagdia",Chhendipada,MACHHAKUTA UPS,Grade 8,25,Odia,60.0
21150721801,GOVT PS BADAGUND,Palalahada,Govt ups kunjam,Grade 5,5,Odia,33.3
21150610101,GOVT UPS DOHOLI,Kishore Nagar,GOVT UPS RANIAKATA,Grade 8,16,Maths,30.0
21150205901,Govt PS Limbadiha,Athamalik,"BINIKEYEE NHS,LUHASINGA",Grade 5,5,English,86.7
21150717501,Namapasi Govt.UGHS,Palalahada,KANTALA,Grade 8,19,SST,45.0
21150111202,Bentapur Nodal UP school,Anugola,Jhatakipasi,Grade 8,30,English,75.0
21150506501,Govt.ups Kandasara,Kaniha,GADASILA UPS Kaniha,Grade 8,1,English,70.0
21150500101,"ARKIL HIGH SCHOOL,ARKIL",Kaniha,GOVT UPS ARKIL,Grade 8,1,English,60.0
21150306403,KUMBHARSAHI UPS,Banarpal,KANDASAR,Grade 5,2,English,46.7
21150207901,Govt U.P.S Baradakata,Athamalik,KANDHAPADA NUPS,Grade 5,11,English,73.3
21150613701,"GOVT.U.P.SCHOOL, TAPURSINGA",Kishore Nagar,Kadalimunda ups,Grade 5,2,EVS,93.3
21150313002,"Govt UPS, Maratira",Banarpal,Brajamohan nups,Grade 5,1,EVS,100.0
21150712053,SUBRINA BISWAL GHS KHAMAR,Palalahada,Govt UPS JENAPADA,Grade 8,39,Science,90.0
21150306202,Kumanda Jarasingha Nodal H/S,Banarpal,Kumanda Jarasingha Cluster,Grade 8,69,Maths,60.0
21150601603,"Govt. Upper Primary School, Angapada Turuda",Kishore Nagar,Govt ups Angapada Turuda,Grade 8,2,Maths,60.0
21150502201,GOVT UPS BAJRAKOTE,Kaniha,Bajrakote Nodal UPS,Grade 5,30,Maths,66.7
21150901701,PTC NODAL HIGH SCHOOL,Anugola,Amalapada ps,Grade 5,21,Odia,66.7
21150414501,"Govt. High School, OGI",Chhendipada,OGI UGHS,Grade 8,9,Science,55.0
21150419001,"Govt. Upper Primary School, Suranga Mundasahi",Chhendipada,OGI UGHS,Grade 8,14,Science,50.0
21150700101,ALLORI ASHRAM SCHOOL,Palalahada,Govt.UPS Munduribeda,Grade 8,23,SST,55.0
21150226601,Govt. UPS. Odasinga,Athamalik,ODASINGA UPS,Grade 8,12,Maths,30.0
21150221001,KANSAB(A) PUPS,Athamalik,MAIMURA PS,Grade 5,6,English,60.0
21150215001,GOVT.PS DAMODARPUR,Athamalik,PEDI PATHAR,Grade 5,5,Odia,73.3
21150520201,"Panchayat High School, Rengali",Kaniha,HATIADANDA,Grade 8,10,Odia,70.0
21150705302,GOVT UPS CHASAGURUJANG,Palalahada,CHASAGURUJANG UPS,Grade 5,9,EVS,40.0
21150713801,KHEMALA NODAL UPS,Palalahada,Barkotia ups,Grade 5,4,EVS,73.3
21150303102,BONDA UPS,Banarpal,NUAHATA CLUSTER,Grade 8,19,Odia,70.0
21150229801,GOVT. UPS TENTULOI,Athamalik,RADHAMADHAB GOVT. HIGH SCHOOL PAIKSAHI,Grade 5,3,EVS,73.3
21150713401,GOVT UPS BALIPASI,Palalahada,Barkotia ups,Grade 5,12,English,46.7
21150109902,Sarangapur p.p.s,Anugola,BEDASASAN,Grade 5,6,English,100.0
21150801401,Tarun Nodal UPS,Talachera,DEULABEDA COLLIERY MODEL NODAL HIGH SCHOOL,Grade 8,8,Maths,45.0
21150802301,Brajanathpur UPS,Talachera,Brajanathpur UPS,Grade 5,13,English,26.7
21150111301,ANKULA PS,Anugola,KHAMAR PS CLUSTER,Grade 5,8,English,100.0
21150122301,RAGUDIAPADA SS,Anugola,GADATARAS,Grade 5,13,EVS,60.0
21150403802,"Govt. Upper Primary School, Brahmanabil",Chhendipada,GOVT UPS BRAHMANBIL,Grade 8,24,English,45.0
21150100701,Janata Nodal Upper Primary School Dandasingha,Anugola,Antulia,Grade 8,23,Odia,45.0
21150117602,NANDAPUR UPS,Anugola,Purunagarh,Grade 8,26,English,95.0
21150505001,GOVT AS PALASABAHALI,Kaniha,GOVT UPS BALIPASI,Grade 8,19,SST,65.0
21150515601,GOVT UPS NAKANAKA,Kaniha,GOVT UPS JARADA,Grade 8,10,English,70.0
21150111501,KHALARI HS,Anugola,KHAMAR PS CLUSTER,Grade 8,39,Science,50.0
