grade,subject,q_no,lo,gl,desc,correct_pct,top_wrong_pct,blank_pct
Grade 5,EVS,5,E 503,At-grade,"Discuss the interdependence among animals, plants, and humans (for example – livestock management, fodder cultivation, etc.).",68.1,10.8,4.8
Grade 5,EVS,6,E 502,At-grade,"Present various methods of human livelihood and the necessary resources of food and water; the processes include the production of materials from agriculture, preparation of various dishes, preservation of different foods, exploration, and protection of water sources.",69.5,11.8,4.5
Grade 5,EVS,7,E 405,Grade-minus-1,"Describe the various skills involved in daily life (such as farming, hunting, weaving, and handicrafts) along with the importance of training (the role of programs) in enhancing these skills.",81.9,5.9,4.2
Grade 5,EVS,8,E 504,At-grade,"Describe the roles and significance of various institutions related to human livelihood (such as banks, panchayats, cooperatives, police stations, etc.).",63.5,21.6,4.8
Grade 5,EVS,9,E 407,Grade-minus-1,"Identify and differentiate between various items related to past and present (such as transportation, goods, homes, materials, tools, skills, agriculture, etc.) and provide insights regarding their origins.",74.7,8.6,5.6
Grade 5,EVS,10,E 408,Grade-minus-1,"Identify specific characteristics, such as shape (head, limbs, teeth, skin surface), habitat (whether domesticated or wild), fruits, vegetables, and spices, along with their life cycles, uses (such as for food, medicine, decoration, etc.), and sensory attributes (such as smell, taste, preferences).",84.5,5.7,4.7
Grade 5,EVS,11,E 408,Grade-minus-1,"Identify specific characteristics, such as shape (head, limbs, teeth, skin surface), habitat (whether domesticated or wild), fruits, vegetables, and spices, along with their life cycles, uses (such as for food, medicine, decoration, etc.), and sensory attributes (such as smell, taste, preferences).",80.5,6.9,5.0
Grade 5,EVS,13,E 409,Grade-minus-1,"Identify situations related to various events, including estimating conditions (distance, weight, time duration) and using regional units of measurement (like yards, feet, miles) while establishing relationships between various causes and effects through simple techniques (examples - condensation, evaporation, separation, etc.) related to the lifespan of flowers, fruits, and other natural resources.",62.5,13.2,5.7
Grade 5,EVS,14,E 512,At-grade,"Discuss complex issues faced by society, such as discrimination, expulsion, and children's rights; provide insights into traditions and events related to these matters.",56.9,22.7,5.4
Grade 5,EVS,15,E 415,Grade-minus-1,"Propose various methods related to health, reducing waste, recycling, and sustaining living resources (plants, animals, elderly individuals, people with disabilities) along with community resources (food, water, and public relations).",50.0,15.9,5.4
Grade 5,English,1,EN 407,Grade-minus-1,Infers the meaning of unfamiliar words by reading them in contexts.,80.2,9.7,2.5
Grade 5,English,2,EN 508,At-grade,"Reads texts with comprehension, locates details and sequence of events.",78.3,8.2,4.0
Grade 5,English,3,EN 407,Grade-minus-1,Infers the meaning of unfamiliar words by reading them in contexts.,69.0,11.8,3.3
Grade 5,English,4,EN 508,At-grade,"Reads texts with comprehension, locates details and sequence of events.",69.1,12.2,2.9
Grade 5,English,5,EN 508,At-grade,"Reads texts with comprehension, locates details and sequence of events.",55.9,18.3,3.3
Grade 5,English,6,EN 407,Grade-minus-1,Infers the meaning of unfamiliar words by reading them in contexts.,60.8,16.2,3.2
Grade 5,English,7,EN 407,Grade-minus-1,Infers the meaning of unfamiliar words by reading them in contexts.,48.3,24.7,4.3
Grade 5,English,8,EN 508,At-grade,"Reads texts with comprehension, locates details and sequence of events.",75.6,9.8,3.3
Grade 5,English,9,EN 508,At-grade,"Reads texts with comprehension, locates details and sequence of events.",58.3,15.7,3.5
Grade 5,English,10,EN 508,At-grade,"Reads texts with comprehension, locates details and sequence of events.",41.9,22.5,4.7
Grade 5,English,11,EN 407,Grade-minus-1,Infers the meaning of unfamiliar words by reading them in contexts.,69.2,11.1,3.2
Grade 5,English,12,EN 407,Grade-minus-1,Infers the meaning of unfamiliar words by reading them in contexts.,72.7,11.2,3.6
Grade 5,English,13,EN 508,At-grade,"Reads texts with comprehension, locates details and sequence of events.",69.8,10.9,3.2
Grade 5,English,14,EN 508,At-grade,"Reads texts with comprehension, locates details and sequence of events.",69.7,11.9,3.5
Grade 5,English,15,EN 508,At-grade,"Reads texts with comprehension, locates details and sequence of events.",57.4,14.2,4.2
Grade 5,Maths,1,M 401,Grade-minus-1,Demonstrate mathematical operations used in daily life.,82.1,8.7,2.9
Grade 5,Maths,2,M 504,At-grade,"Estimate the sum, difference, product, and quotient of significa...",36.3,30.4,5.0
Grade 5,Maths,3,M 504,At-grade,"Estimate the sum, difference, product, and quotient of significa...",69.8,10.3,4.2
Grade 5,Maths,4,M 403,Grade-minus-1,"Create and solve simple, real-life problems related to money, le...",78.1,9.6,3.3
Grade 5,Maths,5,M 508,At-grade,Convert decimals into fractions and vice versa.,72.6,12.4,3.5
Grade 5,Maths,6,M 405,Grade-minus-1,"Use symbols to denote fractional parts like one-half, one-fourth...",77.8,8.7,3.1
Grade 5,Maths,7,M 407,Grade-minus-1,"Understand and identify characteristics of four-sided shapes, in...",76.6,10.1,3.6
Grade 5,Maths,8,M 509,At-grade,Understand the concepts of angles and shapes. Clasify angles int...,72.5,9.7,4.6
Grade 5,Maths,9,M 415,Grade-minus-1,"Solve real-life problems involving distance, weight, volume, and...",63.7,13.1,4.9
Grade 5,Maths,10,M 417,Grade-minus-1,Relate 24-hour time format to the 12-hour time format.,63.4,16.0,4.5
Grade 5,Maths,11,M 512,At-grade,"Establish relationships between measurement, weight, and volume ...",57.5,13.6,4.5
Grade 5,Maths,12,M 512,At-grade,"Establish relationships between measurement, weight, and volume ...",52.4,14.8,5.9
Grade 5,Maths,13,M 419,Grade-minus-1,Recognize the structure of multiplication and division up to the...,82.9,6.6,4.4
Grade 5,Maths,14,M 420,Grade-minus-1,"Understand, identify, and extend geometric patterns based on sym...",82.0,5.2,4.5
Grade 5,Maths,15,M 421,Grade-minus-1,Present collected data in tables or bar graph and analyze patterns.,61.5,16.3,4.2
Grade 8,Odia,1,OD 702,Grade-minus-1,"While reading any text, understand the author’s viewpoint and express its similarities and dissimilarities based on your own experiences.",95.3,1.4,2.0
Grade 8,Odia,2,OD 707,Grade-minus-1,"Reflect on your personal reactions to various local, social, and natural events, for example - Why is there greenery around during the rainy season?",87.9,5.6,2.4
Grade 8,Odia,3,OD 709,Grade-minus-1,"By studying a subject, comprehend the concepts that may exist within it.",58.7,33.2,3.0
Grade 8,Odia,4,OD 711,Grade-minus-1,"Identify various forms and styles of storytelling and poetry, including - narrative, emotional, and nature depiction.",46.4,31.5,3.3
Grade 8,Odia,5,OD 806,At-grade,Use correct grammar in framing sentences in Language use appropriate word to frame sentences,86.8,5.7,2.3
Grade 8,Odia,6,OD 702,Grade-minus-1,"While reading any text, understand the author’s viewpoint and express its similarities and dissimilarities based on your own experiences.",51.8,19.0,2.5
Grade 8,Odia,7,OD 707,Grade-minus-1,"Reflect on your personal reactions to various local, social, and natural events, for example - Why is there greenery around during the rainy season?",65.4,13.2,3.2
Grade 8,Odia,9,OD 711,Grade-minus-1,"Identify various forms and styles of storytelling and poetry, including - narrative, emotional, and nature depiction.",54.7,15.5,3.5
Grade 8,Odia,10,OD 718,Grade-minus-1,"Use appropriate vocabulary, sentence structure, dialogue, punctuation, and other grammatical aspects (like tense, verbs, subjects) while writing for various topics and purposes.",58.7,24.0,2.8
Grade 8,Odia,11,OD 707,Grade-minus-1,"Reflect on your personal reactions to various local, social, and natural events, for example - Why is there greenery around during the rainy season?",74.8,9.6,2.3
Grade 8,Odia,13,OD 711,Grade-minus-1,"Identify various forms and styles of storytelling and poetry, including - narrative, emotional, and nature depiction.",48.7,33.8,3.8
Grade 8,Odia,14,OD 716,Grade-minus-1,"Read various types of materials in the Odia language (including newspapers, magazines, stories, and internet publications) to understand and write your preferences, comments, and expressions in the language or in braille",40.2,35.5,3.9
Grade 8,Odia,15,OD 718,Grade-minus-1,"Use appropriate vocabulary, sentence structure, dialogue, punctuation, and other grammatical aspects (like tense, verbs, subjects) while writing for various topics and purposes.",58.7,22.5,3.3
Grade 8,Odia,16,EN 812,At-grade,Reads textual/non-textual materials in Language/ Braille with comprehension.,85.5,7.0,2.3
Grade 8,Odia,17,EN 812,At-grade,Reads textual/non-textual materials in Language/ Braille with comprehension.,72.4,14.9,2.9
Grade 8,Odia,18,EN 811,At-grade,"Interprets quotations, sayings and proverb etc.",79.1,8.1,3.0
Grade 8,Odia,19,EN 811,At-grade,"Interprets quotations, sayings and proverb etc.",78.4,6.5,3.4
Grade 8,English,1,EN 709,Grade-minus-1,"Identifies characters, main ideas and sequence of ideas and events in textual / non textual material",86.0,8.3,2.0
Grade 8,English,2,EN 713,Grade-minus-1,Infers the meaning of unfamiliar words by reading them in context and enriches vocabulary.,63.3,15.4,2.7
Grade 8,English,3,EN 710,Grade-minus-1,"Compare between characters, events, ideas, themes and correlates them to their own life.",42.3,19.3,3.9
Grade 8,English,4,EN 710,Grade-minus-1,"Compare between characters, events, ideas, themes and correlates them to their own life.",50.4,26.0,3.5
Grade 8,English,5,EN 710,Grade-minus-1,"Compare between characters, events, ideas, themes and correlates them to their own life.",42.4,20.9,3.5
Grade 8,English,6,EN 709,Grade-minus-1,"Identifies characters, main ideas and sequence of ideas and events in textual / non textual material",51.6,37.3,2.7
Grade 8,English,7,EN 709,Grade-minus-1,"Identifies characters, main ideas and sequence of ideas and events in textual / non textual material",49.1,22.2,3.4
Grade 8,English,8,EN 710,Grade-minus-1,"Compare between characters, events, ideas, themes and correlates them to their own life.",56.2,17.6,3.9
Grade 8,English,9,EN 713,Grade-minus-1,Infers the meaning of unfamiliar words by reading them in context and enriches vocabulary.,63.0,12.2,3.8
Grade 8,English,10,EN 716,Grade-minus-1,"Uses appropriate grammatical forms in communication (noun/ pronoun / verb/ determiner,time and tense/ passivisation/ adjective, adverb, tense.)",60.8,16.4,3.7
Grade 8,English,11,EN 709,Grade-minus-1,"Identifies characters, main ideas and sequence of ideas and events in textual / non textual material",54.0,20.3,2.9
Grade 8,English,12,EN 710,Grade-minus-1,"Compare between characters, events, ideas, themes and correlates them to their own life.",38.8,29.7,4.0
Grade 8,English,13,EN 711,Grade-minus-1,"Reads to seek information in print /online, notice board, sign boards in public places, newspapers, hoardings etc.",60.7,14.1,4.3
Grade 8,English,14,EN 713,Grade-minus-1,Infers the meaning of unfamiliar words by reading them in context and enriches vocabulary.,55.1,14.0,3.8
Grade 8,English,15,EN 716,Grade-minus-1,"Uses appropriate grammatical forms in communication (noun/ pronoun / verb/ determiner,time and tense/ passivisation/ adjective, adverb, tense.)",59.9,15.8,4.0
Grade 8,English,16,OD 808,At-grade,"Read various types of materials (such as stories, poems, articles, and essays) and analyze, infer, and present the facts.",48.5,18.7,3.8
Grade 8,English,17,OD 808,At-grade,"Read various types of materials (such as stories, poems, articles, and essays) and analyze, infer, and present the facts.",56.5,15.0,4.0
Grade 8,English,18,OD 810,At-grade,"Analyze the words, phrases, and narratives found in various reading materials.",61.0,12.5,4.1
Grade 8,English,19,OD 810,At-grade,"Analyze the words, phrases, and narratives found in various reading materials.",50.2,15.7,4.3
Grade 8,English,20,OD 811,At-grade,"Identify different styles of writing while reading stories, poems, etc. (for example, narrative, descriptive, and emotive styles).",52.1,15.4,4.0
Grade 8,Science,1,SCI 801,At-grade,"Show the difference between material and living things (such as natural and man-made fibres, contact and non-contact forces, liquids as poor and good conductors of electricity, animal cells and plant cells, animal and non-edd producing organisms), etc, based on their properties, structure characteristics and functionality.",63.0,18.3,2.6
Grade 8,Science,2,SCI 802,At-grade,"Materials and living things will be classified based on their properties, for example - metals and non-metals, kharif and rabi crops, beneficial and harmful microorganisms, sexual and asexual reproduction, cosmic objects and non-renewable natural resources.",73.6,10.0,3.4
Grade 8,Science,3,SCI 802,At-grade,"Materials and living things will be classified based on their properties, for example - metals and non-metals, kharif and rabi crops, beneficial and harmful microorganisms, sexual and asexual reproduction, cosmic objects and non-renewable natural resources.",65.1,16.0,2.9
Grade 8,Science,4,SCI 703,Grade-minus-1,"This section involves the classification of materials and organisms based on their qualities. For example, it includes animal and plant tissues, physical and chemical changes.",51.6,16.1,3.7
Grade 8,Science,6,SCI 705,Grade-minus-1,"This involves relating processes and events to their causes. Examples include the relationship between wind speed and air pressure, various soil types and crop production, and the impact of groundwater depletion on human activities.",53.4,21.0,2.7
Grade 8,Science,7,SCI 805,At-grade,"Explain processes and phenomena - reproduction of humans and animals, creation and transmission of sound, chemical effects of electric current, formation of multiple images, formation of flames, etc.",72.0,9.6,3.5
Grade 8,Science,8,SCI 805,At-grade,"Explain processes and phenomena - reproduction of humans and animals, creation and transmission of sound, chemical effects of electric current, formation of multiple images, formation of flames, etc.",51.6,22.4,3.6
Grade 8,Science,9,SCI 707,Grade-minus-1,"This section deals with the application of chemical reactions. Examples include acid-base reactions, rusting, and identification methods.",64.3,18.2,4.0
Grade 8,Science,10,SCI 707,Grade-minus-1,"This section deals with the application of chemical reactions. Examples include acid-base reactions, rusting, and identification methods.",67.3,12.4,3.1
Grade 8,Science,11,SCI 807,At-grade,Measure the angle of incidence and angle of reflection,50.7,20.6,3.0
Grade 8,Science,12,SCI 807,At-grade,Measure the angle of incidence and angle of reflection,50.8,28.5,3.9
Grade 8,Science,13,SCI 709,Grade-minus-1,"This involves creating and interpreting diagrams, such as anatomical diagrams of humans and plants, as well as preparation for experiments.",45.3,23.6,4.4
Grade 8,Science,15,SCI 811,At-grade,"Apply the learning of scientific concepts to daily life, eg., - purifying water, separating biodegradable and non-biodegradable materials, increasing crop productivity, using appropriate metals and alloys for different purposes, increasing/ decreasing friction, and overcoming misconceptions and misconceptions related to puberty.",66.7,12.3,4.0
Grade 8,Science,16,SCI 712,Grade-minus-1,Discussing the story of scientific discoveries and selecting important ones.,55.1,15.4,3.8
Grade 8,Science,17,SCI 713,Grade-minus-1,"Understanding concepts related to environmental science, such as countering acidity in soil, conducting soil tests, and finding ways to prevent soil erosion.",74.2,11.2,3.0
Grade 8,Science,18,SCI 714,Grade-minus-1,"Efforts will be made towards environmental protection, such as maintaining cleanliness in general places, reducing pollution-causing substances, and tree plantation to prevent soil erosion.",73.3,8.6,3.4
Grade 8,Science,19,SCI 716,Grade-minus-1,"Discussions will cover sustainability, resource conservation, cooperation, and overcoming fear and superstition.",44.3,36.6,3.8
Grade 8,Science,20,SCI 716,Grade-minus-1,"Discussions will cover sustainability, resource conservation, cooperation, and overcoming fear and superstition.",50.0,24.5,3.3
Grade 8,Maths,1,M 801,At-grade,"Conduct an analysis of the basic concepts of permutation, combin...",87.3,4.6,1.5
Grade 8,Maths,2,M 801,At-grade,"Conduct an analysis of the basic concepts of permutation, combin...",30.2,24.7,3.9
Grade 8,Maths,3,M 803,At-grade,"Using the divisibility rules for 2, 3, 4, 5, 6, 9, and 11, deter...",88.2,3.8,3.0
Grade 8,Maths,4,M 803,At-grade,"Using the divisibility rules for 2, 3, 4, 5, 6, 9, and 11, deter...",77.3,6.7,4.2
Grade 8,Maths,5,M 804,At-grade,"Determine the factors, prime factors, cube, and cube roots of th...",85.2,3.8,5.2
Grade 8,Maths,7,M 705,Grade-minus-1,Solve life problems based on the ratio of the parts.,72.8,11.4,4.9
Grade 8,Maths,8,M 705,Grade-minus-1,Solve life problems based on the ratio of the parts.,71.6,8.6,5.3
Grade 8,Maths,9,M 708,Grade-minus-1,Formulate simple equations for life events in two-part ratios an...,71.1,8.9,6.1
Grade 8,Maths,10,M 710,Grade-minus-1,Solve problems related to converting mixed ratios into simple ra...,48.4,32.7,6.0
Grade 8,Maths,11,M 710,Grade-minus-1,Solve problems related to converting mixed ratios into simple ra...,66.4,10.2,4.9
Grade 8,Maths,12,M 711,Grade-minus-1,Determine the profit and loss in simple interest calculations us...,64.5,13.7,5.1
Grade 8,Maths,13,M 711,Grade-minus-1,Determine the profit and loss in simple interest calculations us...,44.5,19.4,6.4
Grade 8,Maths,14,M 712,Grade-minus-1,Analyze various types of shops based on specific parameters such...,59.8,14.3,6.8
Grade 8,Maths,15,M 714,Grade-minus-1,Calculate the volume of a product from the two ends of a triangu...,49.7,16.8,8.1
Grade 8,Maths,16,M 715,Grade-minus-1,Understand the characteristics of triangles based on given condi...,52.8,26.3,6.2
Grade 8,Maths,17,M 717,Grade-minus-1,Use graph paper or grid paper to determine the area of shapes de...,65.5,12.5,6.9
Grade 8,Maths,18,M 811,At-grade,Solve problems using the measurement formulas of various shapes.,76.0,7.0,7.6
Grade 8,Maths,19,M 811,At-grade,Solve problems using the measurement formulas of various shapes.,75.9,6.8,8.6
Grade 8,Maths,20,M 721,Grade-minus-1,"Analyze data from the column chart, comparing seasonal strengths...",37.5,22.8,11.4
Grade 8,SST,1,SST 701,Grade-minus-1,"Identify the various layers of the Earth's atmosphere, types of ...",71.3,14.9,1.8
Grade 8,SST,2,SST 802,At-grade,"Explain about the main crops, different types of farming, and va...",58.5,20.1,3.3
Grade 8,SST,3,SST 703,Grade-minus-1,Describe the various environmental protection measures related t...,62.4,15.1,4.0
Grade 8,SST,5,SST 705,Grade-minus-1,Describe the composition and structure of the atmosphere.,62.8,15.2,6.6
Grade 8,SST,6,SST 706,Grade-minus-1,Explain the interactions among various elements and phenomena in...,66.1,13.6,4.7
Grade 8,SST,7,SST 708,Grade-minus-1,Discuss the factors affecting biodiversity in flora and fauna (s...,79.4,6.5,4.9
Grade 8,SST,8,SST 810,At-grade,Show how the Modern age is different from the Middle ages and An...,61.9,15.5,5.1
Grade 8,SST,9,SST 712,Grade-minus-1,Examine the factors affecting the development of regions in the ...,62.1,13.4,5.9
Grade 8,SST,10,SST 715,Grade-minus-1,Discuss the livelihood and living conditions of populations resi...,68.2,11.2,7.0
Grade 8,SST,11,SST 816,At-grade,"Analyze the reasons for the decline of existing city centres, ha...",46.2,35.2,5.2
Grade 8,SST,12,SST 717,Grade-minus-1,Examine the governance systems established by various empires su...,38.8,38.4,5.9
Grade 8,SST,13,SST 718,Grade-minus-1,Compare the policies of different rulers.,60.6,16.8,6.2
Grade 8,SST,14,SST 720,Grade-minus-1,Analyze the causes of the emergence of new religious ideas and m...,54.2,14.8,6.6
Grade 8,SST,16,SST 722,Grade-minus-1,Discuss the significance of equality in a democracy.,69.3,12.2,5.7
Grade 8,SST,17,SST 825,At-grade,Explain the election process of the Lok Sabha.,69.2,10.3,6.6
Grade 8,SST,18,SST 829,At-grade,Analyze the causes and consequences of specific group formation ...,59.6,15.0,7.2
Grade 8,SST,19,SST 832,At-grade,Explain the working of the Indian judicial system by giving exam...,42.7,24.3,7.8
Grade 8,SST,20,SST 833,At-grade,Explain the role of government in regulating economic activities.,57.0,18.5,10.7
