block,grade,subject,lo_code,lo_description,pct_correct
Anugola,Grade 8,Odia,EN 811,"Interprets quotations, sayings and proverb etc.",78
Anugola,Grade 8,Odia,EN 812,Reads textual/non-textual materials in Language/ Braille with comprehension.,77
Anugola,Grade 8,Odia,OD 702,"While reading any text, understand the author’s viewpoint and express its similarities and dissimilarities based on your own experiences.",74
Anugola,Grade 8,Odia,OD 707,"Reflect on your personal reactions to various local, social, and natural events, for example - Why is there greenery around during the rainy season?",77
Anugola,Grade 8,Odia,OD 711,"Identify various forms and styles of storytelling and poetry, including - narrative, emotional, and nature depiction.",47
Anugola,Grade 8,Odia,OD 716,"Read various types of materials in the Odia language (including newspapers, magazines, stories, and internet publications) to understand and write your preferences, comments, and expressions in the language or in braille",37
Anugola,Grade 8,Odia,OD 718,"Use appropriate vocabulary, sentence structure, dialogue, punctuation, and other grammatical aspects (like tense, verbs, subjects) while writing for various topics and purposes.",61
Anugola,Grade 8,Odia,OD 806,Use correct grammar in framing sentences in Language use appropriate word to frame sentences ,89
Anugola,Grade 8,SST,SST 701,"Identify the various layers of the Earth's atmosphere, types of rocks, and the different layers of the atmosphere using diagrams.",67
Anugola,Grade 8,SST,SST 703,"Describe the various environmental protection measures related to geology, climate, and soil types.",62
Anugola,Grade 8,SST,SST 705,Describe the composition and structure of the atmosphere.,67
Anugola,Grade 8,SST,SST 706,Explain the interactions among various elements and phenomena in the environment.,68
Anugola,Grade 8,SST,SST 708,"Discuss the factors affecting biodiversity in flora and fauna (such as climate change, soil erosion, etc.).",80
Anugola,Grade 8,SST,SST 712,Examine the factors affecting the development of regions in the northeastern states.,66
Anugola,Grade 8,SST,SST 715,Discuss the livelihood and living conditions of populations residing in geographical areas like tribal communities and rural settlements.,71
Anugola,Grade 8,SST,SST 717,"Examine the governance systems established by various empires such as the Mughals, Marathas, and others.",37
Anugola,Grade 8,SST,SST 718,Compare the policies of different rulers.,65
Anugola,Grade 8,SST,SST 720,Analyze the causes of the emergence of new religious ideas and movements (like Bhakti and Sufi).,59
Anugola,Grade 8,SST,SST 722,Discuss the significance of equality in a democracy.,74
Anugola,Grade 8,SST,SST 802,"Explain about the main crops, different types of farming, and various agricultural activities in their region.",61
Anugola,Grade 8,SST,SST 810,Show how the Modern age is different from the Middle ages and Ancient ages.,68
Anugola,Grade 8,SST,SST 816,"Analyze the reasons for the decline of existing city centres, handicraft factories, and some of India’s new city centres and industries that were created during the colonial period.",50
Anugola,Grade 8,SST,SST 825,Explain the election process of the Lok Sabha.,74
Anugola,Grade 8,SST,SST 829,Analyze the causes and consequences of specific group formation by socially disadvantaged/neglected groups in the region.,66
Anugola,Grade 8,SST,SST 832,Explain the working of the Indian judicial system by giving examples of some important cases.,47
Anugola,Grade 8,SST,SST 833,Explain the role of government in regulating economic activities.,62
Anugola,Grade 8,Science,SCI 703,"This section involves the classification of materials and organisms based on their qualities. For example, it includes animal and plant tissues, physical and chemical changes.",42
Anugola,Grade 8,Science,SCI 705,"This involves relating processes and events to their causes. Examples include the relationship between wind speed and air pressure, various soil types and crop production, and the impact of groundwater depletion on human activities.",46
Anugola,Grade 8,Science,SCI 707,"This section deals with the application of chemical reactions. Examples include acid-base reactions, rusting, and identification methods.",59
Anugola,Grade 8,Science,SCI 709,"This involves creating and interpreting diagrams, such as anatomical diagrams of humans and plants, as well as preparation for experiments.",38
Anugola,Grade 8,Science,SCI 712,Discussing the story of scientific discoveries and selecting important ones.,48
Anugola,Grade 8,Science,SCI 713,"Understanding concepts related to environmental science, such as countering acidity in soil, conducting soil tests, and finding ways to prevent soil erosion.",68
Anugola,Grade 8,Science,SCI 714,"Efforts will be made towards environmental protection, such as maintaining cleanliness in general places, reducing pollution-causing substances, and tree plantation to prevent soil erosion.",71
Anugola,Grade 8,Science,SCI 716,"Discussions will cover sustainability, resource conservation, cooperation, and overcoming fear and superstition.",35
Anugola,Grade 8,Science,SCI 801,"Show the difference between material and living things (such as natural and man-made fibres, contact and non-contact forces, liquids as poor and good conductors of electricity, animal cells and plant cells, animal and non-edd producing organisms), etc, based on their properties, structure characteristics and functionality.",61
Anugola,Grade 8,Science,SCI 802,"Materials and living things will be classified based on their properties, for example - metals and non-metals, kharif and rabi crops, beneficial and harmful microorganisms, sexual and asexual reproduction, cosmic objects and non-renewable natural resources.",67
Anugola,Grade 8,Science,SCI 805," Explain processes and phenomena - reproduction of humans and animals, creation and transmission of sound, chemical effects of electric current, formation of multiple images, formation of flames, etc.",58
Anugola,Grade 8,Science,SCI 807,Measure the angle of incidence and angle of reflection,44
Anugola,Grade 8,Science,SCI 811,"Apply the learning of scientific concepts to daily life, eg., - purifying water, separating biodegradable and non-biodegradable materials, increasing crop productivity, using appropriate metals and alloys for different purposes, increasing/ decreasing friction, and overcoming misconceptions and misconceptions related to puberty.",64
Athamalik,Grade 5,EVS,E 402,"Identify various characteristics of animals and birds (such as teeth, claws, wings, ears, etc.).",61
Athamalik,Grade 5,EVS,E 405,"Describe the various skills involved in daily life (such as farming, hunting, weaving, and handicrafts) along with the importance of training (the role of programs) in enhancing these skills.",85
Athamalik,Grade 5,EVS,E 407,"Identify and differentiate between various items related to past and present (such as transportation, goods, homes, materials, tools, skills, agriculture, etc.) and provide insights regarding their origins.",76
Athamalik,Grade 5,EVS,E 408,"Identify specific characteristics, such as shape (head, limbs, teeth, skin surface), habitat (whether domesticated or wild), fruits, vegetables, and spices, along with their life cycles, uses (such as for food, medicine, decoration, etc.), and sensory attributes (such as smell, taste, preferences).",85
Athamalik,Grade 5,EVS,E 415,"Propose various methods related to health, reducing waste, recycling, and sustaining living resources (plants, animals, elderly individuals, people with disabilities) along with community resources (food, water, and public relations).",50
Athamalik,Grade 5,EVS,E 501,"Discuss the remarkable and extraordinary sensory abilities of animals (such as vision, smell, taste, touch, sound, etc.) and describe the reactions of different organisms to stimuli such as sound, light, taste, etc.",44
Athamalik,Grade 5,EVS,E 502,"Present various methods of human livelihood and the necessary resources of food and water; the processes include the production of materials from agriculture, preparation of various dishes, preservation of different foods, exploration, and protection of water sources.",66
Athamalik,Grade 5,EVS,E 503,"Discuss the interdependence among animals, plants, and humans (for example – livestock management, fodder cultivation, etc.).",61
Athamalik,Grade 5,EVS,E 504,"Describe the roles and significance of various institutions related to human livelihood (such as banks, panchayats, cooperatives, police stations, etc.).",61
Athamalik,Grade 5,EVS,E 512,"Discuss complex issues faced by society, such as discrimination, expulsion, and children's rights; provide insights into traditions and events related to these matters.",51
Athamalik,Grade 5,English,EN 407,Infers the meaning of unfamiliar words by reading them in contexts.,67
Athamalik,Grade 5,English,EN 508,"Reads texts with comprehension, locates details and sequence of events.",62
Athamalik,Grade 5,Maths,M 401,Demonstrate mathematical operations used in daily life.,80
Athamalik,Grade 5,Maths,M 403,"Create and solve simple, real-life problems related to money, length, weight, and capacity, using the four basic mathematical operations.",79
Athamalik,Grade 5,Maths,M 405,"Use symbols to denote fractional parts like one-half, one-fourth, and three-fourths.",76
Athamalik,Grade 5,Maths,M 407,"Understand and identify characteristics of four-sided shapes, including center, radius, and perimeter.",80
Athamalik,Grade 5,Maths,M 415,"Solve real-life problems involving distance, weight, volume, and time based on basic mathematical operations.",62
Athamalik,Grade 5,Maths,M 417,Relate 24-hour time format to the 12-hour time format.,59
Athamalik,Grade 5,Maths,M 419,Recognize the structure of multiplication and division up to the 9-times table.,83
Athamalik,Grade 5,Maths,M 420,"Understand, identify, and extend geometric patterns based on symmetry.",83
Athamalik,Grade 5,Maths,M 421,Present collected data in tables or bar graph and analyze patterns.,57
Athamalik,Grade 5,Maths,M 504,"Estimate the sum, difference, product, and quotient of significant data (estimation) and apply standard mathematical procedures while adopting various approaches to problem-solving.",53
Athamalik,Grade 5,Maths,M 508,Convert decimals into fractions and vice versa.,70
Athamalik,Grade 5,Maths,M 509,"Understand the concepts of angles and shapes. Clasify angles into right angle, acute angle, and obtuse angle and illustrate measurements through drawings on paper",71
Athamalik,Grade 5,Maths,M 512,"Establish relationships between measurement, weight, and volume using larger units. Present the measurements of larger units in relation to smaller units (inverse relationships must be considered).",51
Athamalik,Grade 5,Odia,OD 405,"Understand various types of materials (e.g., main articles in newspapers, children magazines, etc.), analyze important social and other relevant topics, and discuss them.",64
Athamalik,Grade 5,Odia,OD 407,"Read other materials alongside your textbook (such as children literature, main news articles, magazines, posters, etc.) and gain an understanding of them.",83
Athamalik,Grade 5,Odia,OD 408,Recognize and understand new vocabulary that comes from different types of content and utilize it appropriately.,70
Athamalik,Grade 5,Odia,OD 413,Use vocabulary contextually by understanding word meanings based on specific topics and applying words meaningfully.,68
Athamalik,Grade 5,Odia,OD 507,Explain the meanings of unfamiliar words from word lists,83
Athamalik,Grade 5,Odia,OD 512,"Utilize vocabulary relevant to different subjects (such as mathematics, science, social studies, dance, medicine, etc.) to enhance communication and incorporate these terms into writing.",56
Athamalik,Grade 8,English,EN 709,"Identifies characters, main ideas and sequence of ideas and events in textual / non textual material ",63
Athamalik,Grade 8,English,EN 710,"Compare between characters, events, ideas, themes and correlates them to their own life.",55
Athamalik,Grade 8,English,EN 711,"Reads to seek information in print /online, notice board, sign boards in public places, newspapers, hoardings etc.",65
Athamalik,Grade 8,English,EN 713,Infers the meaning of unfamiliar words by reading them in context and enriches vocabulary.,64
Athamalik,Grade 8,English,EN 716,"Uses appropriate grammatical forms in communication (noun/ pronoun / verb/ determiner,time and tense/ passivisation/ adjective, adverb, tense.)",64
Athamalik,Grade 8,Maths,M 705,Solve life problems based on the ratio of the parts.,74
Athamalik,Grade 8,Maths,M 708,Formulate simple equations for life events in two-part ratios and solve them.,71
Athamalik,Grade 8,Maths,M 710,Solve problems related to converting mixed ratios into simple ratios.,58
Athamalik,Grade 8,Maths,M 711,Determine the profit and loss in simple interest calculations using the process of finding the ratio of benefits.,55
Athamalik,Grade 8,Maths,M 712,"Analyze various types of shops based on specific parameters such as proximity, proportionate shop size, and supply metrics.",65
Athamalik,Grade 8,Maths,M 714,Calculate the volume of a product from the two ends of a triangular region and fix the volume of the third side.,48
Athamalik,Grade 8,Maths,M 715,Understand the characteristics of triangles based on given conditions using ratios.,48
Athamalik,Grade 8,Maths,M 717,Use graph paper or grid paper to determine the area of shapes defined by specific criteria.,68
Athamalik,Grade 8,Maths,M 721,"Analyze data from the column chart, comparing seasonal strengths between summer and winter and other relevant observations based on collected data.",44
Athamalik,Grade 8,Maths,M 801,"Conduct an analysis of the basic concepts of permutation, combination, multiplication, and division in relation to the generalization of the methods.",56
Athamalik,Grade 8,Maths,M 803,"Using the divisibility rules for 2, 3, 4, 5, 6, 9, and 11, determine the factors, prime factors, cube, and cube roots of the provided numbers.",82
Athamalik,Grade 8,Maths,M 811,Solve problems using the measurement formulas of various shapes.,76
Athamalik,Grade 8,Odia,EN 811,"Interprets quotations, sayings and proverb etc.",75
Athamalik,Grade 8,Odia,EN 812,Reads textual/non-textual materials in Language/ Braille with comprehension.,74
Athamalik,Grade 8,Odia,OD 702,"While reading any text, understand the author’s viewpoint and express its similarities and dissimilarities based on your own experiences.",74
Athamalik,Grade 8,Odia,OD 707,"Reflect on your personal reactions to various local, social, and natural events, for example - Why is there greenery around during the rainy season?",73
Athamalik,Grade 8,Odia,OD 711,"Identify various forms and styles of storytelling and poetry, including - narrative, emotional, and nature depiction.",50
Athamalik,Grade 8,Odia,OD 716,"Read various types of materials in the Odia language (including newspapers, magazines, stories, and internet publications) to understand and write your preferences, comments, and expressions in the language or in braille",45
Athamalik,Grade 8,Odia,OD 718,"Use appropriate vocabulary, sentence structure, dialogue, punctuation, and other grammatical aspects (like tense, verbs, subjects) while writing for various topics and purposes.",55
Athamalik,Grade 8,Odia,OD 806,Use correct grammar in framing sentences in Language use appropriate word to frame sentences ,80
Athamalik,Grade 8,SST,SST 701,"Identify the various layers of the Earth's atmosphere, types of rocks, and the different layers of the atmosphere using diagrams.",60
Athamalik,Grade 8,SST,SST 703,"Describe the various environmental protection measures related to geology, climate, and soil types.",54
Athamalik,Grade 8,SST,SST 705,Describe the composition and structure of the atmosphere.,60
Athamalik,Grade 8,SST,SST 706,Explain the interactions among various elements and phenomena in the environment.,59
Athamalik,Grade 8,SST,SST 708,"Discuss the factors affecting biodiversity in flora and fauna (such as climate change, soil erosion, etc.).",77
Athamalik,Grade 8,SST,SST 712,Examine the factors affecting the development of regions in the northeastern states.,59
Athamalik,Grade 8,SST,SST 715,Discuss the livelihood and living conditions of populations residing in geographical areas like tribal communities and rural settlements.,61
Athamalik,Grade 8,SST,SST 717,"Examine the governance systems established by various empires such as the Mughals, Marathas, and others.",37
Athamalik,Grade 8,SST,SST 718,Compare the policies of different rulers.,50
Athamalik,Grade 8,SST,SST 720,Analyze the causes of the emergence of new religious ideas and movements (like Bhakti and Sufi).,54
Athamalik,Grade 8,SST,SST 722,Discuss the significance of equality in a democracy.,65
Athamalik,Grade 8,SST,SST 802,"Explain about the main crops, different types of farming, and various agricultural activities in their region.",53
Athamalik,Grade 8,SST,SST 810,Show how the Modern age is different from the Middle ages and Ancient ages.,56
Athamalik,Grade 8,SST,SST 816,"Analyze the reasons for the decline of existing city centres, handicraft factories, and some of India’s new city centres and industries that were created during the colonial period.",50
Athamalik,Grade 8,SST,SST 825,Explain the election process of the Lok Sabha.,62
Athamalik,Grade 8,SST,SST 829,Analyze the causes and consequences of specific group formation by socially disadvantaged/neglected groups in the region.,60
Athamalik,Grade 8,SST,SST 832,Explain the working of the Indian judicial system by giving examples of some important cases.,50
Athamalik,Grade 8,SST,SST 833,Explain the role of government in regulating economic activities.,54
Athamalik,Grade 8,Science,SCI 703,"This section involves the classification of materials and organisms based on their qualities. For example, it includes animal and plant tissues, physical and chemical changes.",50
Athamalik,Grade 8,Science,SCI 705,"This involves relating processes and events to their causes. Examples include the relationship between wind speed and air pressure, various soil types and crop production, and the impact of groundwater depletion on human activities.",56
Athamalik,Grade 8,Science,SCI 707,"This section deals with the application of chemical reactions. Examples include acid-base reactions, rusting, and identification methods.",65
Athamalik,Grade 8,Science,SCI 709,"This involves creating and interpreting diagrams, such as anatomical diagrams of humans and plants, as well as preparation for experiments.",45
Athamalik,Grade 8,Science,SCI 712,Discussing the story of scientific discoveries and selecting important ones.,58
Athamalik,Grade 8,Science,SCI 713,"Understanding concepts related to environmental science, such as countering acidity in soil, conducting soil tests, and finding ways to prevent soil erosion.",79
Athamalik,Grade 8,Science,SCI 714,"Efforts will be made towards environmental protection, such as maintaining cleanliness in general places, reducing pollution-causing substances, and tree plantation to prevent soil erosion.",77
Athamalik,Grade 8,Science,SCI 716,"Discussions will cover sustainability, resource conservation, cooperation, and overcoming fear and superstition.",48
Athamalik,Grade 8,Science,SCI 801,"Show the difference between material and living things (such as natural and man-made fibres, contact and non-contact forces, liquids as poor and good conductors of electricity, animal cells and plant cells, animal and non-edd producing organisms), etc, based on their properties, structure characteristics and functionality.",60
Athamalik,Grade 8,Science,SCI 802,"Materials and living things will be classified based on their properties, for example - metals and non-metals, kharif and rabi crops, beneficial and harmful microorganisms, sexual and asexual reproduction, cosmic objects and non-renewable natural resources.",65
Athamalik,Grade 8,Science,SCI 805," Explain processes and phenomena - reproduction of humans and animals, creation and transmission of sound, chemical effects of electric current, formation of multiple images, formation of flames, etc.",65
Athamalik,Grade 8,Science,SCI 807,Measure the angle of incidence and angle of reflection,56
Athamalik,Grade 8,Science,SCI 811,"Apply the learning of scientific concepts to daily life, eg., - purifying water, separating biodegradable and non-biodegradable materials, increasing crop productivity, using appropriate metals and alloys for different purposes, increasing/ decreasing friction, and overcoming misconceptions and misconceptions related to puberty.",69
Banarpal,Grade 5,EVS,E 402,"Identify various characteristics of animals and birds (such as teeth, claws, wings, ears, etc.).",61
Banarpal,Grade 5,EVS,E 405,"Describe the various skills involved in daily life (such as farming, hunting, weaving, and handicrafts) along with the importance of training (the role of programs) in enhancing these skills.",84
Banarpal,Grade 5,EVS,E 407,"Identify and differentiate between various items related to past and present (such as transportation, goods, homes, materials, tools, skills, agriculture, etc.) and provide insights regarding their origins.",74
Banarpal,Grade 5,EVS,E 408,"Identify specific characteristics, such as shape (head, limbs, teeth, skin surface), habitat (whether domesticated or wild), fruits, vegetables, and spices, along with their life cycles, uses (such as for food, medicine, decoration, etc.), and sensory attributes (such as smell, taste, preferences).",84
Banarpal,Grade 5,EVS,E 415,"Propose various methods related to health, reducing waste, recycling, and sustaining living resources (plants, animals, elderly individuals, people with disabilities) along with community resources (food, water, and public relations).",49
Banarpal,Grade 5,EVS,E 501,"Discuss the remarkable and extraordinary sensory abilities of animals (such as vision, smell, taste, touch, sound, etc.) and describe the reactions of different organisms to stimuli such as sound, light, taste, etc.",49
Banarpal,Grade 5,EVS,E 502,"Present various methods of human livelihood and the necessary resources of food and water; the processes include the production of materials from agriculture, preparation of various dishes, preservation of different foods, exploration, and protection of water sources.",68
Banarpal,Grade 5,EVS,E 503,"Discuss the interdependence among animals, plants, and humans (for example – livestock management, fodder cultivation, etc.).",71
Banarpal,Grade 5,EVS,E 504,"Describe the roles and significance of various institutions related to human livelihood (such as banks, panchayats, cooperatives, police stations, etc.).",68
Banarpal,Grade 5,EVS,E 512,"Discuss complex issues faced by society, such as discrimination, expulsion, and children's rights; provide insights into traditions and events related to these matters.",51
Banarpal,Grade 5,English,EN 407,Infers the meaning of unfamiliar words by reading them in contexts.,68
Banarpal,Grade 5,English,EN 508,"Reads texts with comprehension, locates details and sequence of events.",64
Banarpal,Grade 5,Maths,M 401,Demonstrate mathematical operations used in daily life.,82
Banarpal,Grade 5,Maths,M 403,"Create and solve simple, real-life problems related to money, length, weight, and capacity, using the four basic mathematical operations.",78
Banarpal,Grade 5,Maths,M 405,"Use symbols to denote fractional parts like one-half, one-fourth, and three-fourths.",81
Banarpal,Grade 5,Maths,M 407,"Understand and identify characteristics of four-sided shapes, including center, radius, and perimeter.",76
Banarpal,Grade 5,Maths,M 415,"Solve real-life problems involving distance, weight, volume, and time based on basic mathematical operations.",68
Banarpal,Grade 5,Maths,M 417,Relate 24-hour time format to the 12-hour time format.,64
Banarpal,Grade 5,Maths,M 419,Recognize the structure of multiplication and division up to the 9-times table.,86
Banarpal,Grade 5,Maths,M 420,"Understand, identify, and extend geometric patterns based on symmetry.",85
Banarpal,Grade 5,Maths,M 421,Present collected data in tables or bar graph and analyze patterns.,60
Banarpal,Grade 5,Maths,M 504,"Estimate the sum, difference, product, and quotient of significant data (estimation) and apply standard mathematical procedures while adopting various approaches to problem-solving.",51
Banarpal,Grade 5,Maths,M 508,Convert decimals into fractions and vice versa.,76
Banarpal,Grade 5,Maths,M 509,"Understand the concepts of angles and shapes. Clasify angles into right angle, acute angle, and obtuse angle and illustrate measurements through drawings on paper",76
Banarpal,Grade 5,Maths,M 512,"Establish relationships between measurement, weight, and volume using larger units. Present the measurements of larger units in relation to smaller units (inverse relationships must be considered).",56
Banarpal,Grade 5,Odia,OD 405,"Understand various types of materials (e.g., main articles in newspapers, children magazines, etc.), analyze important social and other relevant topics, and discuss them.",63
Banarpal,Grade 5,Odia,OD 407,"Read other materials alongside your textbook (such as children literature, main news articles, magazines, posters, etc.) and gain an understanding of them.",83
Banarpal,Grade 5,Odia,OD 408,Recognize and understand new vocabulary that comes from different types of content and utilize it appropriately.,68
Banarpal,Grade 5,Odia,OD 413,Use vocabulary contextually by understanding word meanings based on specific topics and applying words meaningfully.,68
Banarpal,Grade 5,Odia,OD 507,Explain the meanings of unfamiliar words from word lists,81
Banarpal,Grade 5,Odia,OD 512,"Utilize vocabulary relevant to different subjects (such as mathematics, science, social studies, dance, medicine, etc.) to enhance communication and incorporate these terms into writing.",51
Banarpal,Grade 8,English,EN 709,"Identifies characters, main ideas and sequence of ideas and events in textual / non textual material ",58
Banarpal,Grade 8,English,EN 710,"Compare between characters, events, ideas, themes and correlates them to their own life.",43
Banarpal,Grade 8,English,EN 711,"Reads to seek information in print /online, notice board, sign boards in public places, newspapers, hoardings etc.",61
Banarpal,Grade 8,English,EN 713,Infers the meaning of unfamiliar words by reading them in context and enriches vocabulary.,57
Banarpal,Grade 8,English,EN 716,"Uses appropriate grammatical forms in communication (noun/ pronoun / verb/ determiner,time and tense/ passivisation/ adjective, adverb, tense.)",57
Banarpal,Grade 8,Maths,M 705,Solve life problems based on the ratio of the parts.,45
Banarpal,Grade 8,Maths,M 708,Formulate simple equations for life events in two-part ratios and solve them.,41
Banarpal,Grade 8,Maths,M 710,Solve problems related to converting mixed ratios into simple ratios.,31
Banarpal,Grade 8,Maths,M 711,Determine the profit and loss in simple interest calculations using the process of finding the ratio of benefits.,29
Banarpal,Grade 8,Maths,M 712,"Analyze various types of shops based on specific parameters such as proximity, proportionate shop size, and supply metrics.",34
Banarpal,Grade 8,Maths,M 714,Calculate the volume of a product from the two ends of a triangular region and fix the volume of the third side.,28
Banarpal,Grade 8,Maths,M 715,Understand the characteristics of triangles based on given conditions using ratios.,39
Banarpal,Grade 8,Maths,M 717,Use graph paper or grid paper to determine the area of shapes defined by specific criteria.,38
Banarpal,Grade 8,Maths,M 721,"Analyze data from the column chart, comparing seasonal strengths between summer and winter and other relevant observations based on collected data.",22
Banarpal,Grade 8,Maths,M 801,"Conduct an analysis of the basic concepts of permutation, combination, multiplication, and division in relation to the generalization of the methods.",51
Banarpal,Grade 8,Maths,M 803,"Using the divisibility rules for 2, 3, 4, 5, 6, 9, and 11, determine the factors, prime factors, cube, and cube roots of the provided numbers.",69
Banarpal,Grade 8,Maths,M 811,Solve problems using the measurement formulas of various shapes.,39
Banarpal,Grade 8,Odia,EN 811,"Interprets quotations, sayings and proverb etc.",80
Banarpal,Grade 8,Odia,EN 812,Reads textual/non-textual materials in Language/ Braille with comprehension.,84
Banarpal,Grade 8,Odia,OD 702,"While reading any text, understand the author’s viewpoint and express its similarities and dissimilarities based on your own experiences.",69
Banarpal,Grade 8,Odia,OD 707,"Reflect on your personal reactions to various local, social, and natural events, for example - Why is there greenery around during the rainy season?",78
