udise,school_name,block,cluster,setting,grade,subject,score_out_of_10
21150102601,DALABEHERASAHI SS,Anugola,BADAKERA UPS,Rural,Grade 5,Maths,5
21150102601,DALABEHERASAHI SS,Anugola,BADAKERA UPS,Rural,Grade 5,Odia,7
21150102701,GURANG SS,Anugola,BADAKERA UPS,Rural,Grade 5,EVS,8
21150102701,GURANG SS,Anugola,BADAKERA UPS,Rural,Grade 5,English,9
21150102701,GURANG SS,Anugola,BADAKERA UPS,Rural,Grade 5,Maths,10
21150102701,GURANG SS,Anugola,BADAKERA UPS,Rural,Grade 5,Odia,10
21150102901,RAGUDIAPADA PS,Anugola,BADAKERA UPS,Rural,Grade 5,EVS,8
21150102901,RAGUDIAPADA PS,Anugola,BADAKERA UPS,Rural,Grade 5,English,8
21150102901,RAGUDIAPADA PS,Anugola,BADAKERA UPS,Rural,Grade 5,Maths,8
21150102901,RAGUDIAPADA PS,Anugola,BADAKERA UPS,Rural,Grade 5,Odia,8
21150103101,TUMUNI PROJECT PS,Anugola,BADAKERA UPS,Rural,Grade 5,EVS,7
21150103101,TUMUNI PROJECT PS,Anugola,BADAKERA UPS,Rural,Grade 5,English,6
21150103101,TUMUNI PROJECT PS,Anugola,BADAKERA UPS,Rural,Grade 5,Maths,7
21150103101,TUMUNI PROJECT PS,Anugola,BADAKERA UPS,Rural,Grade 5,Odia,7
21150103102,TUMUNI PS,Anugola,BADAKERA UPS,Rural,Grade 5,EVS,8
21150103102,TUMUNI PS,Anugola,BADAKERA UPS,Rural,Grade 5,English,8
21150103102,TUMUNI PS,Anugola,BADAKERA UPS,Rural,Grade 5,Maths,9
21150103102,TUMUNI PS,Anugola,BADAKERA UPS,Rural,Grade 5,Odia,9
21150103201,GOVT. UGHS BALANGA,Anugola,Jagannathpur,Rural,Grade 5,EVS,3
21150103201,GOVT. UGHS BALANGA,Anugola,Jagannathpur,Rural,Grade 5,English,4
21150103201,GOVT. UGHS BALANGA,Anugola,Jagannathpur,Rural,Grade 5,Maths,4
21150103201,GOVT. UGHS BALANGA,Anugola,Jagannathpur,Rural,Grade 5,Odia,4
21150103201,GOVT. UGHS BALANGA,Anugola,Jagannathpur,Rural,Grade 8,English,5
21150103201,GOVT. UGHS BALANGA,Anugola,Jagannathpur,Rural,Grade 8,Maths,8
21150103201,GOVT. UGHS BALANGA,Anugola,Jagannathpur,Rural,Grade 8,Odia,6
21150103201,GOVT. UGHS BALANGA,Anugola,Jagannathpur,Rural,Grade 8,SST,6
21150103201,GOVT. UGHS BALANGA,Anugola,Jagannathpur,Rural,Grade 8,Science,5
21150103401,Hidisingh PS,Anugola,Jagannathpur,Rural,Grade 5,EVS,6
21150103401,Hidisingh PS,Anugola,Jagannathpur,Rural,Grade 5,English,5
21150103401,Hidisingh PS,Anugola,Jagannathpur,Rural,Grade 5,Maths,9
21150103401,Hidisingh PS,Anugola,Jagannathpur,Rural,Grade 5,Odia,8
21150103701,PAMPASAR PRIMARY SCHOOL,Anugola,Jagannathpur,Rural,Grade 5,EVS,6
21150103701,PAMPASAR PRIMARY SCHOOL,Anugola,Jagannathpur,Rural,Grade 5,English,5
21150103701,PAMPASAR PRIMARY SCHOOL,Anugola,Jagannathpur,Rural,Grade 5,Maths,7
21150103701,PAMPASAR PRIMARY SCHOOL,Anugola,Jagannathpur,Rural,Grade 5,Odia,7
21150103801,TALISARA PS,Anugola,Jagannathpur,Rural,Grade 5,EVS,9
21150103801,TALISARA PS,Anugola,Jagannathpur,Rural,Grade 5,English,8
21150103801,TALISARA PS,Anugola,Jagannathpur,Rural,Grade 5,Maths,8
21150103801,TALISARA PS,Anugola,Jagannathpur,Rural,Grade 5,Odia,9
21150103901,BALASINGHA NODAL HS,Anugola,PNHS Kumurisingha,Rural,Grade 5,EVS,5
21150103901,BALASINGHA NODAL HS,Anugola,PNHS Kumurisingha,Rural,Grade 5,English,5
21150103901,BALASINGHA NODAL HS,Anugola,PNHS Kumurisingha,Rural,Grade 5,Maths,6
21150103901,BALASINGHA NODAL HS,Anugola,PNHS Kumurisingha,Rural,Grade 5,Odia,6
21150103901,BALASINGHA NODAL HS,Anugola,PNHS Kumurisingha,Rural,Grade 8,English,4
21150103901,BALASINGHA NODAL HS,Anugola,PNHS Kumurisingha,Rural,Grade 8,Maths,7
21150103901,BALASINGHA NODAL HS,Anugola,PNHS Kumurisingha,Rural,Grade 8,Odia,5
21150103901,BALASINGHA NODAL HS,Anugola,PNHS Kumurisingha,Rural,Grade 8,SST,6
21150103901,BALASINGHA NODAL HS,Anugola,PNHS Kumurisingha,Rural,Grade 8,Science,4
21150104001,Balisahi NUPS,Anugola,PNHS Kumurisingha,Rural,Grade 5,EVS,4
21150104001,Balisahi NUPS,Anugola,PNHS Kumurisingha,Rural,Grade 5,English,6
21150104001,Balisahi NUPS,Anugola,PNHS Kumurisingha,Rural,Grade 5,Maths,4
21150104001,Balisahi NUPS,Anugola,PNHS Kumurisingha,Rural,Grade 5,Odia,4
21150104001,Balisahi NUPS,Anugola,PNHS Kumurisingha,Rural,Grade 8,English,7
21150104001,Balisahi NUPS,Anugola,PNHS Kumurisingha,Rural,Grade 8,Maths,8
21150104001,Balisahi NUPS,Anugola,PNHS Kumurisingha,Rural,Grade 8,Odia,4
21150104001,Balisahi NUPS,Anugola,PNHS Kumurisingha,Rural,Grade 8,SST,7
21150104001,Balisahi NUPS,Anugola,PNHS Kumurisingha,Rural,Grade 8,Science,7
21150104701,Pandapur P.S,Anugola,PNHS Kumurisingha,Rural,Grade 5,EVS,4
21150104701,Pandapur P.S,Anugola,PNHS Kumurisingha,Rural,Grade 5,English,7
21150104701,Pandapur P.S,Anugola,PNHS Kumurisingha,Rural,Grade 5,Maths,7
21150104701,Pandapur P.S,Anugola,PNHS Kumurisingha,Rural,Grade 5,Odia,6
21150104901,Surah project u p school,Anugola,PNHS Kumurisingha,Rural,Grade 5,EVS,4
21150104901,Surah project u p school,Anugola,PNHS Kumurisingha,Rural,Grade 5,English,8
21150104901,Surah project u p school,Anugola,PNHS Kumurisingha,Rural,Grade 5,Maths,7
21150104901,Surah project u p school,Anugola,PNHS Kumurisingha,Rural,Grade 5,Odia,6
21150104901,Surah project u p school,Anugola,PNHS Kumurisingha,Rural,Grade 8,English,4
21150104901,Surah project u p school,Anugola,PNHS Kumurisingha,Rural,Grade 8,Maths,9
21150104901,Surah project u p school,Anugola,PNHS Kumurisingha,Rural,Grade 8,Odia,5
21150104901,Surah project u p school,Anugola,PNHS Kumurisingha,Rural,Grade 8,SST,8
21150104901,Surah project u p school,Anugola,PNHS Kumurisingha,Rural,Grade 8,Science,5
21150105201,Baluakata Primary School,Anugola,PNHS Kumurisingha,Rural,Grade 5,EVS,5
21150105201,Baluakata Primary School,Anugola,PNHS Kumurisingha,Rural,Grade 5,English,3
21150105201,Baluakata Primary School,Anugola,PNHS Kumurisingha,Rural,Grade 5,Maths,3
21150105201,Baluakata Primary School,Anugola,PNHS Kumurisingha,Rural,Grade 5,Odia,4
21150105203,KUMBHAKARNASAHI UPS,Anugola,KHAMAR PS CLUSTER,Rural,Grade 5,EVS,6
21150105203,KUMBHAKARNASAHI UPS,Anugola,KHAMAR PS CLUSTER,Rural,Grade 5,English,5
21150105203,KUMBHAKARNASAHI UPS,Anugola,KHAMAR PS CLUSTER,Rural,Grade 5,Maths,5
21150105203,KUMBHAKARNASAHI UPS,Anugola,KHAMAR PS CLUSTER,Rural,Grade 5,Odia,5
21150105301,Govt.primary school Sabalabhanga,Anugola,PNHS Kumurisingha,Rural,Grade 5,EVS,5
21150105301,Govt.primary school Sabalabhanga,Anugola,PNHS Kumurisingha,Rural,Grade 5,English,8
21150105301,Govt.primary school Sabalabhanga,Anugola,PNHS Kumurisingha,Rural,Grade 5,Maths,7
21150105301,Govt.primary school Sabalabhanga,Anugola,PNHS Kumurisingha,Rural,Grade 5,Odia,6
21150105351,"Nilakantheswar High school, Sabalbhanga",Anugola,PNHS Kumurisingha,Rural,Grade 8,English,6
21150105351,"Nilakantheswar High school, Sabalbhanga",Anugola,PNHS Kumurisingha,Rural,Grade 8,Maths,7
21150105351,"Nilakantheswar High school, Sabalbhanga",Anugola,PNHS Kumurisingha,Rural,Grade 8,Odia,6
21150105351,"Nilakantheswar High school, Sabalbhanga",Anugola,PNHS Kumurisingha,Rural,Grade 8,SST,6
21150105351,"Nilakantheswar High school, Sabalbhanga",Anugola,PNHS Kumurisingha,Rural,Grade 8,Science,6
21150105701,Bantala Bazar primary school,Anugola,BANTALA,Rural,Grade 5,EVS,5
21150105701,Bantala Bazar primary school,Anugola,BANTALA,Rural,Grade 5,English,7
21150105701,Bantala Bazar primary school,Anugola,BANTALA,Rural,Grade 5,Maths,7
21150105701,Bantala Bazar primary school,Anugola,BANTALA,Rural,Grade 5,Odia,6
21150105702,Bantala nodal High school,Anugola,BANTALA,Rural,Grade 8,English,3
21150105702,Bantala nodal High school,Anugola,BANTALA,Rural,Grade 8,Maths,6
21150105702,Bantala nodal High school,Anugola,BANTALA,Rural,Grade 8,Odia,6
21150105702,Bantala nodal High school,Anugola,BANTALA,Rural,Grade 8,SST,7
21150105702,Bantala nodal High school,Anugola,BANTALA,Rural,Grade 8,Science,4
21150105703,Bantala primary school,Anugola,BANTALA,Rural,Grade 5,EVS,7
21150105703,Bantala primary school,Anugola,BANTALA,Rural,Grade 5,English,9
21150105703,Bantala primary school,Anugola,BANTALA,Rural,Grade 5,Maths,9
21150105703,Bantala primary school,Anugola,BANTALA,Rural,Grade 5,Odia,6
21150105751,Bantala Girls HS,Anugola,BANTALA,Rural,Grade 8,English,5
21150105751,Bantala Girls HS,Anugola,BANTALA,Rural,Grade 8,Maths,7
21150105751,Bantala Girls HS,Anugola,BANTALA,Rural,Grade 8,Odia,6
21150105751,Bantala Girls HS,Anugola,BANTALA,Rural,Grade 8,SST,4
21150105751,Bantala Girls HS,Anugola,BANTALA,Rural,Grade 8,Science,4
21150105801,"Govt.U.P.School,Jaraorpur",Anugola,BANTALA,Rural,Grade 5,EVS,8
21150105801,"Govt.U.P.School,Jaraorpur",Anugola,BANTALA,Rural,Grade 5,English,5
21150105801,"Govt.U.P.School,Jaraorpur",Anugola,BANTALA,Rural,Grade 5,Maths,8
21150105801,"Govt.U.P.School,Jaraorpur",Anugola,BANTALA,Rural,Grade 5,Odia,8
21150106002,Govt primary school Saharagoda,Anugola,BANTALA,Rural,Grade 5,EVS,9
21150106002,Govt primary school Saharagoda,Anugola,BANTALA,Rural,Grade 5,English,8
21150106002,Govt primary school Saharagoda,Anugola,BANTALA,Rural,Grade 5,Maths,9
21150106002,Govt primary school Saharagoda,Anugola,BANTALA,Rural,Grade 5,Odia,8
21150106101,GOVT U P SCHOOL BADAHINSO,Anugola,Pokatunga,Rural,Grade 5,EVS,3
21150106101,GOVT U P SCHOOL BADAHINSO,Anugola,Pokatunga,Rural,Grade 5,English,2
21150106101,GOVT U P SCHOOL BADAHINSO,Anugola,Pokatunga,Rural,Grade 5,Maths,2
21150106101,GOVT U P SCHOOL BADAHINSO,Anugola,Pokatunga,Rural,Grade 5,Odia,2
21150106201,Bandanapasi PS,Anugola,Pokatunga,Rural,Grade 5,EVS,6
21150106201,Bandanapasi PS,Anugola,Pokatunga,Rural,Grade 5,English,5
21150106201,Bandanapasi PS,Anugola,Pokatunga,Rural,Grade 5,Maths,7
21150106201,Bandanapasi PS,Anugola,Pokatunga,Rural,Grade 5,Odia,8
21150106301,Baragounia GP HS,Anugola,Pokatunga,Rural,Grade 8,English,6
21150106301,Baragounia GP HS,Anugola,Pokatunga,Rural,Grade 8,Maths,5
21150106301,Baragounia GP HS,Anugola,Pokatunga,Rural,Grade 8,Odia,6
21150106301,Baragounia GP HS,Anugola,Pokatunga,Rural,Grade 8,SST,3
21150106301,Baragounia GP HS,Anugola,Pokatunga,Rural,Grade 8,Science,6
21150106302,Baragounia Nodal UPS,Anugola,Pokatunga,Rural,Grade 5,EVS,8
21150106302,Baragounia Nodal UPS,Anugola,Pokatunga,Rural,Grade 5,English,10
21150106302,Baragounia Nodal UPS,Anugola,Pokatunga,Rural,Grade 5,Maths,9
21150106302,Baragounia Nodal UPS,Anugola,Pokatunga,Rural,Grade 5,Odia,9
21150106303,Gothamalasahi Primary School,Anugola,Pokatunga,Rural,Grade 5,EVS,8
21150106303,Gothamalasahi Primary School,Anugola,Pokatunga,Rural,Grade 5,English,9
21150106303,Gothamalasahi Primary School,Anugola,Pokatunga,Rural,Grade 5,Maths,8
21150106303,Gothamalasahi Primary School,Anugola,Pokatunga,Rural,Grade 5,Odia,8
21150106304,PURUNAPASISAHI PROJECT PS,Anugola,Pokatunga,Rural,Grade 5,EVS,9
21150106304,PURUNAPASISAHI PROJECT PS,Anugola,Pokatunga,Rural,Grade 5,English,9
21150106304,PURUNAPASISAHI PROJECT PS,Anugola,Pokatunga,Rural,Grade 5,Maths,10
21150106304,PURUNAPASISAHI PROJECT PS,Anugola,Pokatunga,Rural,Grade 5,Odia,9
21150106401,KALEIPADA PS,Anugola,GADATARAS,Rural,Grade 5,EVS,7
21150106401,KALEIPADA PS,Anugola,GADATARAS,Rural,Grade 5,English,7
21150106401,KALEIPADA PS,Anugola,GADATARAS,Rural,Grade 5,Maths,6
21150106401,KALEIPADA PS,Anugola,GADATARAS,Rural,Grade 5,Odia,7
21150106501,Magurkhal PS,Anugola,Pokatunga,Rural,Grade 5,EVS,8
21150106501,Magurkhal PS,Anugola,Pokatunga,Rural,Grade 5,English,8
21150106501,Magurkhal PS,Anugola,Pokatunga,Rural,Grade 5,Maths,7
21150106501,Magurkhal PS,Anugola,Pokatunga,Rural,Grade 5,Odia,7
21150106701,SANAHINSO PROJECT PS,Anugola,Pokatunga,Rural,Grade 5,EVS,8
21150106701,SANAHINSO PROJECT PS,Anugola,Pokatunga,Rural,Grade 5,English,8
21150106701,SANAHINSO PROJECT PS,Anugola,Pokatunga,Rural,Grade 5,Maths,10
21150106701,SANAHINSO PROJECT PS,Anugola,Pokatunga,Rural,Grade 5,Odia,6
21150106801,Basala project u p sahu,Anugola,BEDASASAN,Rural,Grade 5,EVS,8
21150106801,Basala project u p sahu,Anugola,BEDASASAN,Rural,Grade 5,English,9
21150106801,Basala project u p sahu,Anugola,BEDASASAN,Rural,Grade 5,Maths,8
21150106801,Basala project u p sahu,Anugola,BEDASASAN,Rural,Grade 5,Odia,9
21150106802,Sunabhuin Project PS,Anugola,BEDASASAN,Rural,Grade 5,EVS,8
21150106802,Sunabhuin Project PS,Anugola,BEDASASAN,Rural,Grade 5,English,7
21150106802,Sunabhuin Project PS,Anugola,BEDASASAN,Rural,Grade 5,Maths,7
21150106802,Sunabhuin Project PS,Anugola,BEDASASAN,Rural,Grade 5,Odia,8
21150106851,Basala G.P. High School,Anugola,BEDASASAN,Rural,Grade 8,English,6
21150106851,Basala G.P. High School,Anugola,BEDASASAN,Rural,Grade 8,Maths,3
21150106851,Basala G.P. High School,Anugola,BEDASASAN,Rural,Grade 8,Odia,8
21150106851,Basala G.P. High School,Anugola,BEDASASAN,Rural,Grade 8,SST,3
21150106851,Basala G.P. High School,Anugola,BEDASASAN,Rural,Grade 8,Science,8
21150106901,Bherubania Primary School,Anugola,BEDASASAN,Rural,Grade 5,EVS,5
21150106901,Bherubania Primary School,Anugola,BEDASASAN,Rural,Grade 5,English,8
21150106901,Bherubania Primary School,Anugola,BEDASASAN,Rural,Grade 5,Maths,9
21150106901,Bherubania Primary School,Anugola,BEDASASAN,Rural,Grade 5,Odia,7
21150107201,Bedasasan gp Nodal High school,Anugola,BEDASASAN,Rural,Grade 5,EVS,8
21150107201,Bedasasan gp Nodal High school,Anugola,BEDASASAN,Rural,Grade 5,English,5
21150107201,Bedasasan gp Nodal High school,Anugola,BEDASASAN,Rural,Grade 5,Maths,7
21150107201,Bedasasan gp Nodal High school,Anugola,BEDASASAN,Rural,Grade 5,Odia,8
21150107201,Bedasasan gp Nodal High school,Anugola,BEDASASAN,Rural,Grade 8,English,6
21150107201,Bedasasan gp Nodal High school,Anugola,BEDASASAN,Rural,Grade 8,Maths,8
21150107201,Bedasasan gp Nodal High school,Anugola,BEDASASAN,Rural,Grade 8,Odia,8
21150107201,Bedasasan gp Nodal High school,Anugola,BEDASASAN,Rural,Grade 8,SST,7
21150107201,Bedasasan gp Nodal High school,Anugola,BEDASASAN,Rural,Grade 8,Science,5
21150107502,Hamamira Nodal U. P School,Anugola,BEDASASAN,Rural,Grade 5,EVS,6
21150107502,Hamamira Nodal U. P School,Anugola,BEDASASAN,Rural,Grade 5,English,7
21150107502,Hamamira Nodal U. P School,Anugola,BEDASASAN,Rural,Grade 5,Maths,6
